"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2039","步骤 66: 提交习题答案","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2041","步骤 22: 获取技能维度定义","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2041","步骤 59: 获取学习路径列表","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2036","步骤 10: 更新测试环境","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2036","步骤 53: 向路径添加习题","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2031","步骤 49: 开始考试（获取题目）","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2019","步骤 12: 删除测试用例","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2027","步骤 20: 获取文件夹列表（树形）","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2043","步骤 8: 删除测试环境","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2028","步骤 23: 获取技能雷达图数据","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2052","步骤 61: 获取习题分类","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2052","步骤 6: 获取所有用户列表","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2042","步骤 36: 获取帖子详情","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2036","步骤 9: 创建测试环境","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","4061","步骤 2: 测试登录接口","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
